"","pscale","up_std","low_std"
"",0,0,0
"S2",0.780761537044889,1.18043757958578,0.433820289115805
"S3",2.04572289204144,2.62178611057957,1.68080574638848
"S4",3.38290473440016,4.2350640861365,2.90895355255758
"S5",4.91454375800257,6.09758985640494,4.29187196187062
"S6",6.96530258497309,8.54849176027156,6.14698566398497
"S7",9.38056099035633,11.5225933919427,8.307947391704
"S8",11.5575566815115,14.1855517722832,10.245492325629
"S9",13.0930197377854,16.0653754861809,11.6015263419444
"S10",13.23478442975,16.3060831729597,11.6938286689145
