lum,slope,CE,spacing
3.6,0.03753254458063702,yes,even
10.8,0.02062596481718239,yes,even
18.0,0.028977498083041134,yes,even
25.200000000000003,0.021271434467597477,yes,even
32.45,0.010339781998556898,yes,even
39.7,0.007156948048408407,yes,even
46.9,0.005123760225224648,yes,even
54.1,0.004009975856942462,yes,even
61.35,0.0036565868002045414,yes,even
3.6,0.0507955012326395,no,even
10.8,0.018880421727727355,no,even
18.0,0.014326159063481442,no,even
25.200000000000003,0.011903106374969134,no,even
32.45,0.010296804330148408,no,even
39.7,0.009206319651833494,no,even
46.9,0.008335266415456847,no,even
54.1,0.007693404800431803,no,even
61.35,0.007208772283675576,no,even
3.0,0.03940807661930313,yes,centbg
11.5,0.023903038277862956,yes,centbg
18.5,0.03075574118536245,yes,centbg
19.5,0.034630365905572,yes,centbg
20.5,0.043445517948776824,yes,centbg
21.5,0.04028166860183624,yes,centbg
23.5,0.027759074369410126,yes,centbg
32.5,0.011971061138288008,yes,centbg
52.5,0.00478687048345884,yes,centbg
3.0,0.047298441997638774,no,centbg
11.5,0.022392691474468537,no,centbg
18.5,0.015755904376703933,no,centbg
19.5,0.016079524958687974,no,centbg
20.5,0.016126017729668707,no,centbg
21.5,0.014168095165967065,no,centbg
23.5,0.014547674739914954,no,centbg
32.5,0.012066044770241662,no,centbg
52.5,0.009317520193478259,no,centbg
2.5,0.0293626095536886,yes,coarse
7.5,-0.001718553477977458,yes,coarse
22.5,0.030196903725699414,yes,coarse
37.5,0.005318771855556292,yes,coarse
42.5,0.0043231818441625824,yes,coarse
47.5,0.003378262251340969,yes,coarse
52.5,0.003125803253288062,yes,coarse
57.5,0.0028656250910772396,yes,coarse
62.5,0.002359781000366645,yes,coarse
2.5,0.06202739268620503,no,coarse
7.5,0.02369274010205109,no,coarse
22.5,0.013124875657459026,no,coarse
37.5,0.009279547325614668,no,coarse
42.5,0.008729229126099169,no,coarse
47.5,0.008164195236795901,no,coarse
52.5,0.007879874493668382,no,coarse
57.5,0.00716161306364711,no,coarse
62.5,0.007441029678623523,no,coarse
3.0,0.03962824018131018,yes,coarse1
7.5,0.024439726583716275,yes,coarse1
12.5,0.021795609046562824,yes,coarse1
20.0,0.0308711970356516,yes,coarse1
29.5,0.014400462829032587,yes,coarse1
37.0,0.008502027043688595,yes,coarse1
43.0,0.006316583532327058,yes,coarse1
50.5,0.005096402262419487,yes,coarse1
60.0,0.0037214941487685228,yes,coarse1
3.0,0.04755533960038704,no,coarse1
7.5,0.0273066162471112,no,coarse1
12.5,0.020094818609353395,no,coarse1
20.0,0.015796775013449078,no,coarse1
29.5,0.012618985823148429,no,coarse1
37.0,0.011002530983908002,no,coarse1
43.0,0.010711968392919602,no,coarse1
50.5,0.009344161467214531,no,coarse1
60.0,0.008684839530740585,no,coarse1
3.0,0.023194419718056348,yes,coarse2
7.5,0.011923934835304443,yes,coarse2
20.0,0.034562362982416106,yes,coarse2
35.0,0.006946391455828005,yes,coarse2
42.5,0.0048436607846399134,yes,coarse2
47.5,0.004038414556461256,yes,coarse2
52.5,0.0033242803736720948,yes,coarse2
57.5,0.0031552100572070476,yes,coarse2
62.5,0.0020167287769497387,yes,coarse2
3.0,0.04708533522256431,no,coarse2
7.5,0.02768598742261948,no,coarse2
20.0,0.016362953464171527,no,coarse2
35.0,0.011462379928525834,no,coarse2
42.5,0.01052575979370296,no,coarse2
47.5,0.009633977018978257,no,coarse2
52.5,0.009426698967467928,no,coarse2
57.5,0.008517110896826895,no,coarse2
62.5,0.008165624008615247,no,coarse2
2.5,0.04350595928815703,yes,coarse3
7.5,0.022232882260472448,yes,coarse3
12.5,0.020775380747921658,yes,coarse3
17.5,0.0265666420807091,yes,coarse3
27.5,0.01889975897491419,yes,coarse3
40.0,0.006732878249189578,yes,coarse3
47.5,0.005436861792169489,yes,coarse3
52.5,0.003968880653897356,yes,coarse3
60.0,0.003674179876775596,yes,coarse3
2.5,0.06234053958515866,no,coarse3
7.5,0.023357243888348922,no,coarse3
12.5,0.017271462689848804,no,coarse3
17.5,0.01415377045702293,no,coarse3
27.5,0.01125040289373543,no,coarse3
40.0,0.00924199529935361,no,coarse3
47.5,0.008006079642275643,no,coarse3
52.5,0.007970492487218572,no,coarse3
60.0,0.007332605985106477,no,coarse3
